Var1	Var2	Var3
1	2731.60851756311	13.2894415066652
2	5527.96064928581	23.0248555701667
3	828.88421543021	26.0238681538563
4	1835.9477498787	27.3949401553229
5	8232.23568836794	27.9277183310726
6	2742.10952781195	35.574656094906
7	2839.26593759326	32.6529698844285
8	8223.29229933961	35.585410610198
9	8436.78393620134	43.2400122448311
10	3980.50189677834	43.1362128057345
11	6969.0856706613	46.5513604389675
12	8653.93008312339	48.190253854583
13	2709.0352967109	57.5333844238011
14	2083.69661702771	59.2944882816431
